Date,Region,SalesRep,Customer,Category,Product,Revenue,COGS,OperatingExpense,Units,BudgetRevenue
2026-07-29,East,Casey,Customer 47,Hardware,Laptop,19002.03,8945.29,2713.17,24,20438.86
2025-02-09,East,Taylor,Customer 42,Hardware,Laptop,19859.8,9721.01,3975.34,14,19773.03
2025-10-01,East,Jordan,Customer 3,Hardware,Monitor,47733.33,21768.8,8357.47,24,48515.24
2026-08-06,West,Casey,Customer 11,Services,Consulting,2880.62,1272.87,410.29,2,2991.37
2026-10-25,East,Riley,Customer 6,Software,ERP,12290.59,6667.96,2568.24,8,11834.44
2026-05-20,West,Riley,Customer 13,Services,Training,9802.69,4125.25,2040.3,16,9549.59
2026-07-17,South,Morgan,Customer 38,Software,ERP,5466.41,1975.75,781.92,3,5856.85
2026-07-25,East,Taylor,Customer 11,Hardware,Laptop,5087.66,2350.38,817.54,9,5424.1
2026-10-11,West,Riley,Customer 29,Services,Consulting,14922.22,6713.34,1693.71,10,15224.01
2025-01-09,South,Riley,Customer 43,Services,Training,2437.54,1150.28,317.16,10,2484.36
2026-08-17,North,Alex,Customer 34,Hardware,Laptop,13399.71,5025.56,2341.34,19,14370.78
2026-04-26,West,Alex,Customer 16,Services,Consulting,38858.35,21268.59,4300.57,24,40152
2026-03-27,West,Riley,Customer 43,Software,ERP,32366.58,16191.71,5469.92,14,32555.49
2025-07-17,East,Casey,Customer 40,Software,ERP,43858.49,21570.3,8849.59,19,43510.43
2026-05-02,East,Taylor,Customer 30,Hardware,Laptop,11120.58,4641.11,2119.13,16,10726.81
2025-04-04,West,Casey,Customer 36,Services,Consulting,36325.66,19589.14,7915.96,17,38742.09
2026-10-20,North,Morgan,Customer 10,Software,Analytics,14358.42,5156.03,2489.27,8,15197.18
2026-11-17,East,Riley,Customer 15,Services,Support,9276.67,5029.22,2008.08,20,9017.15
2026-10-21,North,Alex,Customer 1,Software,CRM,11260.37,4063.72,2347.4,7,11011.7
2026-10-13,North,Casey,Customer 10,Services,Consulting,2932.36,1056.39,296.73,5,2824.08
2025-01-25,East,Morgan,Customer 2,Software,CRM,29813.3,11452.02,6004.11,17,31810.29
2026-06-26,West,Riley,Customer 6,Hardware,Dock,9632.95,4662.86,1199.83,9,9620.35
2025-01-28,South,Casey,Customer 10,Software,ERP,48487.29,26555.73,7770.54,24,48738.87
2025-11-11,West,Casey,Customer 40,Software,CRM,8599.79,3674.5,1104.07,12,9220.09
2026-01-01,West,Casey,Customer 29,Services,Consulting,9955.66,5375.76,1549.14,5,10056.71
2025-04-11,West,Casey,Customer 32,Software,Analytics,16383.25,7112.8,2972.8,10,16581.47
2025-05-13,West,Casey,Customer 9,Hardware,Dock,26344.97,13986.79,2741.37,16,28139.52
2025-04-02,North,Casey,Customer 30,Hardware,Dock,30356.32,13674.25,4148.71,22,32405.57
2025-04-10,North,Casey,Customer 46,Hardware,Dock,29175.3,10773.59,3267.19,20,28582.9
2026-08-06,South,Jordan,Customer 17,Hardware,Dock,5032.71,2710.56,544.83,6,5047.81
2025-08-24,East,Casey,Customer 23,Software,Analytics,8319.78,3514.77,1511.87,4,8239.12
2026-03-12,North,Jordan,Customer 11,Services,Training,16474.77,7275.49,3129.97,23,17115.81
2025-10-11,South,Riley,Customer 18,Software,ERP,34991.81,15513.94,4367.05,22,33803.42
2026-10-24,West,Taylor,Customer 9,Software,ERP,8572.96,3188.05,1704.96,10,8664.3
2025-12-17,West,Jordan,Customer 33,Hardware,Dock,30083.93,14112.91,4163.32,22,31951.12
2025-06-07,South,Morgan,Customer 7,Software,ERP,15629.74,5954.59,1881.93,7,16762.52
2025-02-12,South,Alex,Customer 23,Software,Analytics,22499.02,10354.09,4946.29,14,22886.19
2025-07-01,West,Taylor,Customer 24,Hardware,Monitor,1616.93,603.24,200.93,1,1579.16
2026-03-19,East,Casey,Customer 42,Services,Training,11384.91,6099.64,2106.22,9,11120.05
2025-03-31,West,Casey,Customer 27,Hardware,Dock,25478.09,13391.25,4423.96,13,25938.26
2026-06-10,West,Morgan,Customer 31,Software,Analytics,37144.84,14842.1,7137.15,23,38390.2
2025-08-10,South,Jordan,Customer 26,Software,Analytics,5475.76,1980.92,833.57,9,5526.33
2026-10-05,East,Casey,Customer 16,Software,ERP,14853.84,6641.81,2411.99,18,15993.43
2026-06-19,East,Morgan,Customer 8,Hardware,Laptop,3091.12,1682.46,490.4,2,3120.05
2025-10-03,West,Morgan,Customer 13,Services,Training,9547.04,5188.87,1963.58,13,9890.92
2025-12-19,East,Jordan,Customer 41,Software,Analytics,383.74,156.77,57.19,1,405.52
2025-11-09,South,Riley,Customer 47,Services,Consulting,24526.82,12270.81,3125.24,11,25776.88
2025-02-10,East,Jordan,Customer 44,Software,Analytics,33523.06,16373.05,3556.11,15,32804.55
2026-05-21,West,Jordan,Customer 25,Software,Analytics,9497.59,3914.89,1402.19,23,9502.79
2026-09-18,South,Taylor,Customer 15,Hardware,Dock,16695.66,7929.11,3218.81,11,17123.57
2025-12-05,East,Alex,Customer 41,Software,CRM,3609.63,1565.55,503.36,2,3794.01
2026-10-30,North,Morgan,Customer 27,Services,Consulting,16456.93,8256.25,3435.93,7,16440.44
2025-08-22,North,Alex,Customer 35,Hardware,Laptop,15808.52,6334.32,2842.73,7,15957.51
2025-05-03,South,Morgan,Customer 4,Hardware,Dock,2069.82,1015.87,285.22,2,1991.92
2025-05-13,West,Jordan,Customer 2,Services,Support,46743.64,24639.86,6740.34,24,44680.58
2025-05-18,South,Morgan,Customer 4,Services,Support,14717.83,8065.34,1657.8,7,15569.6
2026-06-26,North,Morgan,Customer 41,Software,CRM,5267.5,2374.29,830.43,16,5451.39
2025-09-16,South,Alex,Customer 1,Hardware,Dock,12732.25,6441.12,2503.17,23,13171.06
2026-09-18,West,Taylor,Customer 4,Services,Support,1593.64,708.69,326.68,6,1612.6
2025-06-14,West,Taylor,Customer 38,Software,CRM,17827.98,9542.55,2310.99,13,18885.77
2026-11-03,West,Riley,Customer 13,Hardware,Laptop,4900.9,2063.85,802.3,2,4995.85
2026-12-29,North,Alex,Customer 42,Hardware,Dock,20555.35,8827.3,3713.15,23,21464.67
2025-08-29,East,Morgan,Customer 20,Software,Analytics,6188.51,3322.36,1291.4,4,6181.73
2025-04-24,East,Jordan,Customer 11,Hardware,Laptop,51478.07,23529.67,6140.4,25,49863.18
2026-04-28,West,Casey,Customer 1,Services,Training,23975.71,8810.14,4910.62,17,23893.5
2025-01-18,North,Taylor,Customer 48,Services,Training,17472.72,9097.29,2926.19,14,17731.8
2025-06-29,North,Riley,Customer 17,Hardware,Dock,17247.5,6613.6,2536.47,13,16948.08
2025-09-29,East,Morgan,Customer 6,Software,ERP,1531.99,787.19,336.06,1,1472.45
2025-07-06,South,Casey,Customer 5,Hardware,Dock,3261.4,1232.39,495.19,2,3493.55
2025-06-21,North,Jordan,Customer 40,Hardware,Monitor,25065.53,9885.37,3218.38,21,24366.21
2026-10-20,West,Riley,Customer 28,Software,Analytics,10319.2,4712.7,1556.62,15,11101.68
2025-06-25,South,Alex,Customer 14,Software,ERP,7964.16,3360.93,1538.94,9,8351.81
2025-03-06,East,Alex,Customer 20,Hardware,Dock,19217.95,9825.27,2336.9,23,18346.22
2026-03-21,North,Alex,Customer 21,Software,CRM,29460.67,11489.48,6402.94,17,31744.78
2026-04-11,West,Riley,Customer 20,Hardware,Dock,8924.08,3407.57,1310.8,23,8812.02
2026-10-05,East,Morgan,Customer 23,Software,CRM,16512.68,7991.48,2079.79,7,17192.4
2025-03-07,East,Morgan,Customer 17,Software,Analytics,26775.06,12347.49,4351.27,20,25579.77
2025-09-04,East,Jordan,Customer 50,Hardware,Dock,38744.67,16779.68,5045.45,17,39636.51
2026-05-20,South,Taylor,Customer 19,Software,Analytics,18402.41,9874.42,2102.04,12,18093.17
2026-01-12,East,Jordan,Customer 13,Software,Analytics,22433.39,8070.17,4117.11,11,22985.5
2026-03-11,East,Taylor,Customer 23,Software,CRM,30042.11,13655.88,3725.17,21,29149.22
2026-11-23,North,Casey,Customer 35,Services,Training,27056.73,11775.48,4676.17,11,26020.39
2026-02-20,North,Taylor,Customer 27,Hardware,Dock,10510.6,5629.81,1445.32,7,10093.38
2025-07-15,West,Jordan,Customer 26,Hardware,Laptop,19818.17,10234.92,2719.76,25,21363.4
2026-05-12,West,Alex,Customer 10,Hardware,Dock,7266.86,3124.61,1130.62,6,7810.19
2025-11-23,South,Riley,Customer 4,Software,Analytics,8541.59,3779.25,1840.02,17,8966.51
2026-07-14,West,Jordan,Customer 3,Hardware,Laptop,8336.62,3593.84,877.16,9,9001.02
2025-02-05,South,Riley,Customer 5,Software,Analytics,5816.74,2558.89,920.31,3,5950.99
2025-03-08,South,Alex,Customer 5,Hardware,Laptop,15954.6,8536.71,3441.57,24,15615.06
2026-08-21,South,Jordan,Customer 22,Hardware,Monitor,12618.25,4809.03,1697.09,20,13534.05
2025-10-15,East,Alex,Customer 16,Software,ERP,46432.62,21767.41,8701.23,22,48792.21
2025-04-12,South,Riley,Customer 17,Software,ERP,1337.77,475.78,281.38,3,1281.44
2026-07-24,South,Morgan,Customer 40,Hardware,Monitor,10446.67,4959.15,2279.82,8,10465.44
2025-01-16,East,Alex,Customer 24,Software,ERP,16800.2,8674.54,1762.58,15,16737.39
2026-09-16,South,Riley,Customer 41,Hardware,Monitor,4365.21,2054.62,663.66,11,4679.85
2026-07-07,West,Riley,Customer 26,Software,Analytics,43157.01,22945.56,8353.11,20,42928.65
2026-05-28,West,Riley,Customer 32,Software,Analytics,13149.87,6509.01,2034.27,13,12513.27
2026-02-10,East,Jordan,Customer 14,Software,Analytics,8886.25,3427.49,1396.45,19,9246.13
2025-03-25,West,Morgan,Customer 37,Services,Consulting,5109.37,2244.57,726.24,4,4960.05
2026-09-11,East,Casey,Customer 43,Services,Support,12658.9,4754.57,1806.8,13,12369.74
2025-01-14,West,Taylor,Customer 4,Hardware,Monitor,4693.47,1966.47,986.72,13,4644.75
2025-02-06,East,Casey,Customer 11,Services,Training,4189.46,1674.6,915.96,3,4291.39
2026-03-27,North,Alex,Customer 23,Hardware,Dock,46325.96,23055.19,6915.2,19,46319.21
2026-09-12,North,Morgan,Customer 5,Hardware,Dock,23196.88,10444.45,3051.47,10,22713.39
2025-01-05,North,Jordan,Customer 44,Software,ERP,1548.08,747.23,166.28,4,1601.37
2025-08-18,West,Riley,Customer 20,Hardware,Dock,19975.35,8482.03,2840.63,10,21392.78
2025-03-22,North,Morgan,Customer 40,Services,Support,20021.22,8559.69,3782.04,15,19849.81
2026-02-18,West,Riley,Customer 40,Services,Consulting,45964.1,20150.55,7508.6,20,48428.17
2026-04-14,East,Morgan,Customer 9,Services,Training,49188.62,19181.95,7924.06,20,50633.62
2025-05-12,South,Riley,Customer 3,Services,Training,34275.95,15940.94,4308.19,23,36127.48
2026-10-05,West,Morgan,Customer 24,Hardware,Dock,3713.94,2023.12,596.23,9,3634.37
2026-06-18,West,Taylor,Customer 27,Software,ERP,10757.11,4680.86,1871.35,8,10412.34
2026-12-30,North,Taylor,Customer 2,Software,Analytics,8948.04,3445.82,1224.53,20,9083.53
2025-11-02,East,Alex,Customer 46,Software,CRM,14237.96,7180.76,2594.8,18,13687.43
2026-05-30,South,Morgan,Customer 24,Software,CRM,22022.6,11062.31,3841.1,16,23184.87
2026-11-26,North,Alex,Customer 32,Hardware,Laptop,10450.84,4182.98,1544.92,21,10537.35
2026-08-08,West,Alex,Customer 34,Software,CRM,14804.79,6456.7,2153.64,20,15180.82
2026-10-10,East,Casey,Customer 23,Software,Analytics,13514.81,5830.93,2479.12,10,12913.32
2026-12-05,West,Jordan,Customer 1,Software,CRM,550.61,202.45,59.37,1,583.53
2025-12-29,South,Taylor,Customer 11,Hardware,Monitor,34861.45,14983.7,4744.93,17,37161.01
2026-05-21,North,Taylor,Customer 5,Services,Training,22774.59,12495.57,3159.22,21,23459.23
2025-08-09,North,Casey,Customer 27,Software,ERP,19124.25,7266.91,3816.47,13,20533.57
2025-12-15,East,Alex,Customer 4,Hardware,Monitor,26110.36,12348.75,4893.65,12,26413.1
2026-11-28,West,Alex,Customer 37,Software,Analytics,11734.09,5240.78,1931.6,7,12040.7
2026-02-07,South,Morgan,Customer 8,Software,ERP,9724.24,4830.81,1508.66,6,9273.22
2025-03-25,East,Riley,Customer 49,Services,Training,27947.54,10544.52,6090.55,13,29501.6
2025-08-14,East,Casey,Customer 23,Services,Training,5582.36,2651.95,879.11,20,5828.62
2025-08-24,South,Jordan,Customer 13,Services,Training,12565.24,6336.33,1835.08,23,12959.83
2026-03-01,North,Casey,Customer 30,Services,Training,20274.64,7535.12,2423.97,20,20479.24
2026-11-05,North,Jordan,Customer 29,Hardware,Monitor,12876.54,5989.39,2319.6,16,12648.16
2025-12-11,South,Jordan,Customer 11,Services,Training,46318.51,21435.99,8585.29,20,44114.9
2025-02-20,East,Alex,Customer 29,Hardware,Monitor,21137.46,10114.81,4590.77,18,22088.92
2026-07-21,West,Taylor,Customer 8,Services,Support,5566.41,2117.64,1046.22,6,5662.76
2026-11-03,South,Alex,Customer 46,Services,Support,11025.65,5725.18,1821.98,7,10759.89
2026-05-25,South,Morgan,Customer 28,Services,Training,9567.74,4453.38,1808,15,9523.59
2025-06-05,East,Riley,Customer 21,Hardware,Monitor,36517.11,17811.01,5662.81,16,36961.39
2025-09-09,South,Riley,Customer 31,Hardware,Dock,51404.55,20086.73,9414.04,22,51650.03
2025-06-05,East,Alex,Customer 29,Software,CRM,15285,6781.87,2401.12,10,15163.58
2026-09-12,North,Casey,Customer 23,Hardware,Monitor,30003.79,13164.32,5570.46,19,30866.24
2026-01-08,South,Taylor,Customer 28,Software,Analytics,10903.89,4398.66,2379.24,15,11634.33
2025-10-24,West,Casey,Customer 13,Services,Support,27224.5,12434.51,5942.73,22,27113.49
2025-06-10,South,Morgan,Customer 38,Hardware,Laptop,3157.88,1465.67,532.41,15,3384.34
2025-07-20,South,Alex,Customer 23,Software,CRM,1888.49,989.59,203.53,2,1808.69
2025-09-10,West,Alex,Customer 16,Hardware,Monitor,4898.2,1923.1,791.96,4,4678.09
2025-12-03,North,Morgan,Customer 32,Hardware,Dock,18879.18,7308.84,3654.37,18,18068.61
2025-07-17,South,Jordan,Customer 5,Hardware,Laptop,2805.7,986.49,301.04,9,2883.73
2025-08-12,North,Alex,Customer 46,Software,CRM,16299.08,7777.72,3298.18,24,17005.07
2025-11-26,East,Morgan,Customer 2,Hardware,Dock,9078.06,3453.89,1312.31,15,9334.46
2025-01-07,East,Alex,Customer 15,Hardware,Laptop,4979.53,2106,783.48,2,4974.64
2026-10-13,South,Taylor,Customer 43,Services,Support,25741.06,11711.77,4400.34,22,25124.26
2025-04-26,East,Alex,Customer 11,Software,ERP,8102.79,2937.95,1259.01,14,8599.84
2025-04-02,East,Riley,Customer 35,Services,Consulting,12882.55,6126.17,1315.63,18,13702.59
2026-08-26,North,Morgan,Customer 37,Software,CRM,18785.58,8949.63,3155.15,13,18458.45
2025-12-16,North,Morgan,Customer 30,Services,Training,1371.72,695.36,220.71,2,1441.31
2025-12-28,West,Taylor,Customer 3,Services,Training,4202.64,1505.9,901.96,12,4092.58
2025-06-26,North,Alex,Customer 41,Services,Support,28436.35,14305.03,5917.47,17,30620.79
2025-06-23,West,Casey,Customer 27,Software,Analytics,3638.12,1378.88,504.45,9,3911.15
2026-09-27,East,Alex,Customer 27,Hardware,Dock,327.9,171.6,70.61,1,323.56
2025-01-26,South,Morgan,Customer 35,Hardware,Monitor,16161.73,7150.04,3044.66,7,16613.65
2026-01-04,South,Casey,Customer 14,Services,Consulting,6071.22,2255.89,1318.05,22,6536.29
2026-04-09,North,Jordan,Customer 26,Software,ERP,4116.26,1867.41,714.41,10,3970.44
2026-09-11,West,Jordan,Customer 39,Hardware,Laptop,34625.04,16161.59,4211.59,15,35410.24
2026-01-20,East,Jordan,Customer 5,Services,Support,25130.48,12547.46,3580.44,23,24180.81
2025-03-06,South,Alex,Customer 1,Services,Support,10255.39,5212.82,1479.22,13,9891.41
2025-08-24,North,Alex,Customer 24,Software,Analytics,59931.88,29924.06,9692.12,24,57399.46
2026-01-18,North,Alex,Customer 49,Software,Analytics,8782.69,4189.15,1571.27,4,8991.73
2026-07-22,East,Jordan,Customer 4,Software,CRM,32176.09,12628.11,5852.05,13,31698.11
2026-04-29,South,Alex,Customer 21,Software,CRM,8353.44,3784.68,1076.25,12,8327.48
2025-06-26,North,Casey,Customer 22,Services,Consulting,7155.77,3732.16,1158.44,23,7359.88
2025-05-26,West,Casey,Customer 29,Hardware,Monitor,20025.56,8255.61,4134.49,11,19027.02
2026-06-19,West,Morgan,Customer 12,Hardware,Monitor,15141.95,5610.12,2549.94,10,16086.43
2025-11-07,South,Morgan,Customer 48,Software,CRM,33048.63,15480.92,7022.97,25,33472.31
2026-01-16,West,Morgan,Customer 48,Services,Consulting,46543.68,19853.84,9280.72,20,50254.11
2025-05-04,North,Casey,Customer 39,Software,ERP,893.27,361.81,162.18,1,851.4
2025-11-06,East,Morgan,Customer 47,Services,Training,27195.69,10899.78,5742.09,15,28399.53
2025-08-06,South,Morgan,Customer 25,Hardware,Monitor,6356.43,2346.52,715.77,6,6752.7
2025-11-29,West,Riley,Customer 49,Services,Consulting,41575.01,20557.98,7181.03,25,40626.95
2026-08-28,West,Taylor,Customer 24,Services,Training,6387.99,2901.97,1293.95,9,6753.54
2026-05-18,West,Casey,Customer 31,Hardware,Monitor,43894.75,19757.55,5285.92,20,41711.25
2025-04-03,South,Alex,Customer 2,Hardware,Monitor,41853.43,18569.48,7223.8,23,42659.22
2026-09-12,West,Morgan,Customer 6,Services,Training,5151.96,2607.17,1033.5,3,5513.73
2025-06-08,East,Jordan,Customer 1,Services,Consulting,17205.76,8292.38,1728.01,11,18324.25
2026-05-08,West,Jordan,Customer 11,Services,Support,4709.19,2476.01,666.32,14,4606.49
2026-01-16,North,Alex,Customer 32,Hardware,Laptop,16945.03,9101.74,3391.31,7,17909.34
2026-11-01,North,Casey,Customer 29,Software,ERP,17547.37,6924.3,2248.79,18,18905.69
2025-04-19,East,Jordan,Customer 44,Hardware,Dock,22453.62,10369.35,3356.57,12,23367.3
2026-10-03,North,Morgan,Customer 15,Hardware,Laptop,11663.1,4132.32,1873.12,16,11876.52
2025-07-02,West,Riley,Customer 20,Software,CRM,2580.29,922.34,331.79,5,2531.98
2026-09-08,East,Alex,Customer 42,Services,Consulting,2742.98,1481.34,491.92,3,2817.16
2026-07-24,North,Taylor,Customer 36,Services,Consulting,34076.25,13887.04,6434.88,20,34220.29
2026-05-19,North,Jordan,Customer 29,Hardware,Monitor,43665.05,20463.68,8153.94,20,45076.03
2025-09-12,West,Casey,Customer 24,Hardware,Dock,5457.5,2551.77,826.23,3,5537.08
2025-07-23,South,Jordan,Customer 35,Services,Consulting,17718.32,8983.37,3382.37,9,18786.9
2025-11-11,North,Taylor,Customer 11,Hardware,Laptop,5035.68,1912.05,1029.43,6,4908.7
2025-08-30,North,Riley,Customer 12,Services,Support,36449.84,12784.12,4065.33,17,38138.56
2025-05-19,East,Riley,Customer 30,Services,Consulting,10054.69,4913.48,1272.16,13,9986.68
2026-08-03,South,Riley,Customer 13,Hardware,Monitor,7178.61,3356.18,719.62,7,7642.27
2026-06-13,West,Taylor,Customer 47,Services,Training,20599.76,7733.44,2904.28,9,21379.41
2025-10-27,East,Riley,Customer 10,Hardware,Dock,18345.88,8024.2,1878.95,20,18231.67
2025-05-07,East,Jordan,Customer 26,Services,Training,51379.19,25572.75,6781.94,24,51323.49
2025-08-16,West,Alex,Customer 41,Hardware,Monitor,11629.28,5102.81,1289.56,14,11615.86
2025-02-12,North,Morgan,Customer 16,Hardware,Monitor,3622.03,1315.09,782.88,6,3791.4
2026-09-27,South,Morgan,Customer 18,Software,CRM,8880.37,4605.59,1255.32,8,9421.39
2025-10-20,South,Jordan,Customer 5,Software,ERP,1638.43,738.4,312.89,4,1685.6
2025-12-23,East,Casey,Customer 50,Software,CRM,1847.34,970.37,271.78,6,1802.55
2026-02-28,East,Riley,Customer 28,Hardware,Laptop,3067.27,1490.05,599.51,9,3050.91
2025-01-12,North,Riley,Customer 39,Hardware,Dock,36457.59,16443.13,5925.29,23,36453.73
2025-05-03,South,Taylor,Customer 27,Software,Analytics,13434.64,6354.72,2040.61,21,14325.39
2025-02-05,West,Riley,Customer 42,Services,Training,2346.48,1229.53,457.69,1,2388.05
2026-01-12,East,Casey,Customer 7,Software,ERP,3110.39,1115.92,646.7,2,3299.26
2026-06-10,West,Riley,Customer 2,Services,Support,28489.07,11901.05,6115.86,20,27438.33
2026-03-21,West,Taylor,Customer 9,Services,Consulting,7718.75,4022.99,1605.84,8,7951.09
2025-03-27,East,Taylor,Customer 49,Hardware,Monitor,1254.81,667.84,172.78,1,1259.63
2026-10-26,East,Taylor,Customer 37,Hardware,Laptop,3998.42,1479.69,860.4,19,4220.12
2025-06-15,North,Alex,Customer 43,Software,Analytics,12838.22,5104.2,1472.15,9,12414.09
2026-02-13,North,Casey,Customer 43,Software,Analytics,24656.74,9084.52,2825.28,20,25141.28
2025-09-08,North,Alex,Customer 15,Hardware,Laptop,23760.45,11454.17,3143.53,10,23053.97
2026-09-06,South,Taylor,Customer 32,Services,Consulting,5243.44,2225.54,647.44,5,5338.17
2026-01-03,South,Alex,Customer 35,Hardware,Laptop,14983.73,7362.34,2499.4,19,14477.25
2025-09-01,South,Alex,Customer 22,Services,Support,5422.7,2818.22,639.67,12,5152.9
2026-02-14,North,Riley,Customer 32,Hardware,Monitor,5727.47,2551.04,831.9,10,5636.14
